model,ticker_id,config_key,lookback,hidden_dim,n_layers,dropout,huber_beta,tau,lambda_pin,status,val_rmse,tail_precision,tail_recall,tail_f2,tail_tp,tail_fp,tail_fn,val_n,trained_epochs,seconds,error
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.01}",60,64,2,0.2,0.075,0.01,1.0,ok,0.02495816298167014,0.3333333333333333,0.014084507042253521,0.017421602787456445,1,2,70,1145,19,139.222,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.025}",60,64,2,0.2,0.075,0.025,0.5,ok,0.026337070894839006,0.21739130434782608,0.07042253521126761,0.08143322475570033,5,18,66,1145,14,100.866,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.025}",60,64,2,0.2,0.075,0.025,1.0,ok,0.03002976026950346,0.12408759124087591,0.23943661971830985,0.20190023752969122,17,120,54,1145,14,102.375,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.05}",60,64,2,0.2,0.075,0.05,0.5,ok,0.025883587952507992,0.26666666666666666,0.056338028169014086,0.06688963210702342,4,11,67,1145,14,100.163,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.05}",60,64,2,0.2,0.075,0.05,1.0,ok,0.02951696982291493,0.10204081632653061,0.14084507042253522,0.13089005235602094,10,88,61,1145,14,101.338,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.01}",90,32,2,0.2,0.05,0.01,0.5,ok,0.03025620730191501,0.1206896551724138,0.6901408450704225,0.3550724637681159,49,357,22,1145,13,69.418,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.01}",90,32,2,0.2,0.05,0.01,1.0,ok,0.029248302892454114,0.10569105691056911,0.5492957746478874,0.2986217457886677,39,330,32,1145,14,83.244,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.025}",90,32,2,0.2,0.05,0.025,0.5,ok,0.030171844201134935,0.116751269035533,0.647887323943662,0.3392330383480826,46,348,25,1145,13,75.532,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.025}",90,32,2,0.2,0.05,0.025,1.0,ok,0.028653115594732204,0.11612903225806452,0.5070422535211268,0.30303030303030304,36,274,35,1145,14,80.998,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.05}",90,32,2,0.2,0.05,0.05,0.5,ok,0.03064757497561005,0.1201923076923077,0.704225352112676,0.3571428571428571,50,366,21,1145,13,75.922,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.05}",90,32,2,0.2,0.05,0.05,1.0,ok,0.033631623990871995,0.11281070745697896,0.8309859154929577,0.3655514250309789,59,464,12,1145,13,74.905,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.01}",90,32,2,0.2,0.075,0.01,0.5,ok,0.029367930369593582,0.11389521640091116,0.704225352112676,0.3457814661134163,50,389,21,1145,14,80.457,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.01}",90,32,2,0.2,0.075,0.01,1.0,ok,0.02683130150488325,0.3333333333333333,0.028169014084507043,0.034482758620689655,2,4,69,1145,11,62.489,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.025}",90,32,2,0.2,0.075,0.025,0.5,ok,0.02929606220105897,0.11538461538461539,0.7183098591549296,0.3512396694214876,51,391,20,1145,14,80.89,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.025}",90,32,2,0.2,0.075,0.025,1.0,ok,0.027089412178256552,0.42857142857142855,0.04225352112676056,0.051546391752577324,3,4,68,1145,11,62.27,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.05}",90,32,2,0.2,0.075,0.05,0.5,ok,0.028731847663341956,0.11407766990291263,0.6619718309859155,0.33764367816091956,47,365,24,1145,14,83.35,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.05}",90,32,2,0.2,0.075,0.05,1.0,ok,0.02661286143353431,,0.0,,0,0,71,1145,11,63.33,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.01}",90,64,2,0.2,0.05,0.01,0.5,ok,0.026088272148458203,0.21428571428571427,0.08450704225352113,0.09615384615384616,6,22,65,1145,19,188.993,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.01}",90,64,2,0.2,0.05,0.01,1.0,ok,0.029519984637936814,0.1329479768786127,0.323943661971831,0.2516411378555799,23,150,48,1145,19,186.946,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.025}",90,64,2,0.2,0.05,0.025,0.5,ok,0.026017215197655,0.19230769230769232,0.07042253521126761,0.08064516129032258,5,21,66,1145,19,260.527,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.025}",90,64,2,0.2,0.05,0.025,1.0,ok,0.030014657312018047,0.12807881773399016,0.36619718309859156,0.26694045174537995,26,177,45,1145,19,271.022,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.05}",90,64,2,0.2,0.05,0.05,0.5,ok,0.025683407653658948,0.3076923076923077,0.056338028169014086,0.06734006734006735,4,9,67,1145,19,278.92,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.05}",90,64,2,0.2,0.05,0.05,1.0,ok,0.02902277102600464,0.1276595744680851,0.2535211267605634,0.2117647058823529,18,123,53,1145,19,277.01,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.01}",90,64,2,0.2,0.075,0.01,0.5,ok,0.0286334192591751,0.13450292397660818,0.323943661971831,0.25274725274725274,23,148,48,1145,19,269.114,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.01}",90,64,2,0.2,0.075,0.01,1.0,ok,0.030884119894104164,0.11347517730496454,0.4507042253521127,0.2826855123674911,32,250,39,1145,19,279.138,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.025}",90,64,2,0.2,0.075,0.025,0.5,ok,0.028117680158349208,0.136986301369863,0.28169014084507044,0.2325581395348837,20,126,51,1145,19,279.72,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.025}",90,64,2,0.2,0.075,0.025,1.0,ok,0.031091234472941463,0.11673151750972763,0.4225352112676056,0.27726432532347506,30,227,41,1145,19,280.845,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":90,""n_layers"":2,""tau"":0.05}",90,64,2,0.2,0.075,0.05,0.5,ok,0.027394960846539723,0.11904761904761904,0.14084507042253522,0.1358695652173913,10,74,61,1145,19,281.582,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":90,""n_layers"":2,""tau"":0.05}",90,64,2,0.2,0.075,0.05,1.0,ok,0.03049907713925209,0.12380952380952381,0.36619718309859156,0.26315789473684215,26,184,45,1145,19,270.188,
