model,ticker_id,config_key,lookback,alpha,tau,status,val_rmse,tail_precision,tail_recall,tail_f2,tail_tp,tail_fp,tail_fn,val_n,trained_epochs,seconds,error
quantile_joint,ALL,"{""alpha"":0.0001,""lookback"":60,""tau"":0.5}",60,0.0001,0.5,ok,0.021229377315497504,,0.0,,0,0,71,1145,1,34.563,
quantile_joint,ALL,"{""alpha"":0.001,""lookback"":60,""tau"":0.5}",60,0.001,0.5,ok,0.021240856392158856,,0.0,,0,0,71,1145,1,12.897,
quantile_joint,ALL,"{""alpha"":0.0001,""lookback"":90,""tau"":0.5}",90,0.0001,0.5,ok,0.021270387247796525,,0.0,,0,0,71,1145,1,45.734,
quantile_joint,ALL,"{""alpha"":0.001,""lookback"":90,""tau"":0.5}",90,0.001,0.5,ok,0.021235971137612233,,0.0,,0,0,71,1145,1,13.275,
